date,taxa anualizada,variação diária
2012-03-07,10.2200,0.03872300%
2012-03-08,9.5300,0.03864300%
2012-03-09,9.5100,0.03609700%
2012-03-12,9.4800,0.03601900%
2012-03-13,9.4600,0.03594100%
2012-03-14,9.4500,0.03586300%
2012-03-15,9.4500,0.03585100%
2012-03-16,9.4900,0.03583800%
2012-03-19,9.4800,0.03595400%
2012-03-20,9.4800,0.03594200%
2012-03-21,9.4800,0.03592900%
2012-03-22,9.4800,0.03591600%
2012-03-23,9.5200,0.03596800%
2012-03-26,9.4900,0.03608400%
2012-03-27,9.4900,0.03600600%
2012-03-28,9.4800,0.03599300%
2012-03-29,9.4800,0.03591600%
2012-03-30,9.5200,0.03596700%
2012-04-02,9.5000,0.03608400%
2012-04-03,9.5000,0.03600600%
2012-04-04,9.5300,0.03599300%
2012-04-05,9.5200,0.03610900%
2012-04-09,9.5000,0.03609600%
2012-04-10,9.5200,0.03601900%
2012-04-11,9.4900,0.03607000%
2012-04-12,9.4800,0.03599300%
2012-04-13,9.4800,0.03591500%
2012-04-16,9.4700,0.03596700%
2012-04-17,9.4600,0.03589000%
2012-04-18,9.4700,0.03587700%
2012-04-19,8.7200,0.03592800%
2012-04-20,8.7300,0.03315300%
2012-04-23,8.7700,0.03320600%
2012-04-24,8.7200,0.03338800%
2012-04-25,8.7200,0.03318400%
2012-04-26,8.7200,0.03317300%
2012-04-27,8.7300,0.03316200%
2012-04-30,8.7000,0.03321500%
2012-05-02,8.7600,0.03307600%
2012-05-03,8.7600,0.03332100%
2012-05-04,8.7100,0.03331000%
2012-05-07,8.7100,0.03317100%
2012-05-08,8.6900,0.03316000%
2012-05-09,8.6900,0.03308500%
2012-05-10,8.6800,0.03307400%
2012-05-11,8.6800,0.03299900%
2012-05-14,8.6300,0.03305200%
2012-05-15,8.7200,0.03285000%
2012-05-16,8.7300,0.03315800%
2012-05-17,8.7400,0.03321100%
2012-05-18,8.7600,0.03326400%
2012-05-21,8.7300,0.03331700%
2012-05-22,8.7700,0.03324200%
2012-05-23,8.7800,0.03335800%
2012-05-24,8.7800,0.03341100%
2012-05-25,8.7900,0.03340000%
